"","x"
"313","PV"
"314","undef"
"315","undef"
"316","undef"
"317","undef"
"318","PV"
"319","PV"
"320","undef"
"321","undef"
"322","PV"
"323","PV"
"324","undef"
"325","PV"
"326","PV"
"327","undef"
"328","undef"
"329","undef"
"330","PV"
"331","PV"
"332","PV"
"333","PV"
"334","undef"
"335","undef"
"336","undef"
"337","PV"
"338","undef"
"339","PV"
"340","undef"
"341","PV"
"342","PV"
"343","PV"
"344","PV"
"345","undef"
"346","undef"
"347","PV"
"348","PV"
"349","PV"
"350","PV"
"351","undef"
"352","undef"
"353","undef"
"354","undef"
"355","undef"
"356","undef"
"357","PV"
"358","PV"
"359","undef"
"360","undef"
"361","undef"
"362","undef"
"363","SOM"
"364","undef"
"365","undef"
"366","undef"
"367","undef"
"368","undef"
"369","undef"
"370","EXC"
"371","undef"
"372","undef"
"373","undef"
"374","undef"
"375","undef"
"376","undef"
"377","SOM"
"378","undef"
"379","undef"
"380","undef"
"381","undef"
"382","undef"
"383","SOM"
"384","undef"
"385","undef"
"386","undef"
"387","undef"
"388","undef"
"389","undef"
"390","SOM"
"391","undef"
"392","undef"
"393","undef"
"394","undef"
"395","undef"
"396","undef"
"397","undef"
"398","undef"
"399","undef"
"400","undef"
"401","undef"
"402","undef"
"403","undef"
"404","undef"
"405","SOM"
"406","undef"
"407","undef"
"408","undef"
"409","SOM"
"410","undef"
"411","undef"
"412","undef"
"413","undef"
"414","EXC"
"415","undef"
"416","undef"
"417","SOM"
"418","undef"
"419","undef"
"420","undef"
"421","SOM"
"422","undef"
"423","undef"
"424","undef"
"425","undef"
"426","undef"
"427","undef"
"428","undef"
"429","EXC"
"430","undef"
"431","undef"
"432","undef"
"433","undef"
"434","undef"
"435","undef"
"436","undef"
"437","EXC"
"438","undef"
"439","SOM"
"440","undef"
"441","SOM"
"442","SOM"
"443","SOM"
"444","SOM"
"445","SOM"
"446","undef"
"447","undef"
"448","SOM"
"449","SOM"
"450","SOM"
"451","undef"
"452","SOM"
"453","SOM"
"454","undef"
"455","undef"
"456","undef"
"457","SOM"
"458","SOM"
"459","undef"
"460","SOM"
"461","undef"
"462","SOM"
"463","EXC"
"464","undef"
"465","undef"
"466","undef"
"467","undef"
"468","undef"
"469","undef"
"470","undef"
"471","undef"
"472","undef"
"473","undef"
"474","SOM"
"475","undef"
"476","SOM"
"477","undef"
"478","undef"
"479","undef"
"480","EXC"
"481","undef"
"482","undef"
"483","SOM"
"484","undef"
"485","undef"
"486","undef"
"487","undef"
"488","SOM"
"489","undef"
"490","undef"
"491","SOM"
"492","undef"
"493","undef"
"494","undef"
"495","undef"
"496","SOM"
"497","SOM"
"498","undef"
"499","undef"
"500","undef"
"501","EXC"
"502","undef"
"503","undef"
"504","undef"
"505","undef"
"506","undef"
"507","SOM"
"508","undef"
"509","undef"
"510","undef"
"511","SOM"
"512","undef"
"513","undef"
"514","undef"
"515","SOM"
"516","SOM"
"517","undef"
"518","undef"
"519","undef"
"520","SOM"
"521","SOM"
"522","undef"
"523","undef"
"524","undef"
"525","undef"
"526","SOM"
"527","undef"
"528","undef"
"529","undef"
"530","undef"
"531","undef"
"532","undef"
"533","undef"
"534","undef"
"535","SOM"
"536","undef"
"537","undef"
"538","undef"
"539","undef"
"540","undef"
"541","SOM"
"542","undef"
"543","EXC"
"544","undef"
"545","undef"
"546","undef"
"547","undef"
"548","undef"
"549","EXC"
"550","undef"
"551","EXC"
"552","SOM"
"553","undef"
"554","undef"
"555","SOM"
"556","undef"
"557","undef"
"558","undef"
"559","undef"
"560","undef"
"561","undef"
"562","SOM"
"563","SOM"
"564","undef"
"565","undef"
"566","SOM"
"567","undef"
"568","SOM"
"569","SOM"
"570","undef"
"571","undef"
"572","undef"
"573","undef"
"574","undef"
"575","SOM"
"576","SOM"
"577","SOM"
"578","SOM"
"579","SOM"
"580","undef"
"581","SOM"
"582","undef"
"583","undef"
"584","SOM"
"585","undef"
"586","SOM"
"587","undef"
"588","SOM"
"589","SOM"
"590","undef"
"591","undef"
"592","undef"
"593","EXC"
"594","undef"
"595","undef"
"596","undef"
"597","undef"
"598","undef"
"599","undef"
"600","undef"
"601","SOM"
"602","undef"
"603","undef"
"604","undef"
"605","undef"
"606","undef"
"607","undef"
"608","EXC"
"609","undef"
"610","undef"
"611","undef"
"612","undef"
"613","undef"
"614","undef"
"615","undef"
"616","undef"
"617","SOM"
"618","undef"
"619","undef"
"620","SOM"
"621","undef"
"622","undef"
"623","undef"
"624","undef"
"625","undef"
"626","undef"
"627","undef"
"628","SOM"
"629","undef"
"630","undef"
"631","undef"
"632","undef"
"633","SOM"
"634","SOM"
"635","undef"
"636","undef"
"637","undef"
"638","undef"
"639","undef"
"640","SOM"
"641","undef"
"642","SOM"
"643","SOM"
"644","undef"
"645","undef"
"646","undef"
"647","undef"
"648","undef"
"649","undef"
"650","undef"
"651","undef"
"652","undef"
"653","undef"
"654","undef"
"655","SOM"
"656","undef"
"657","undef"
"658","undef"
"659","SOM"
"660","undef"
"661","SOM"
"662","undef"
"663","undef"
"664","undef"
"665","undef"
"666","SOM"
"667","undef"
"668","undef"
"669","SOM"
"670","undef"
"671","undef"
"672","undef"
"673","undef"
"674","undef"
"675","undef"
"676","SOM"
"677","undef"
"678","undef"
"679","EXC"
"680","undef"
"681","SOM"
"682","undef"
"683","EXC"
"684","undef"
"685","SOM"
"686","undef"
"687","SOM"
"688","undef"
"689","SOM"
"690","undef"
"691","undef"
"692","undef"
"693","undef"
"694","undef"
"695","undef"
"696","undef"
"697","undef"
"698","undef"
"699","undef"
"700","undef"
"701","undef"
"702","undef"
"703","undef"
"704","undef"
"705","undef"
"706","undef"
"707","undef"
"708","undef"
"709","EXC"
"710","undef"
"711","SOM"
"712","SOM"
"713","undef"
"714","SOM"
"715","undef"
"716","undef"
"717","SOM"
"718","undef"
"719","undef"
"720","SOM"
"721","undef"
"722","undef"
"723","undef"
"724","undef"
"725","undef"
"726","undef"
"727","undef"
"728","undef"
"729","undef"
"730","undef"
"731","undef"
"732","undef"
"733","undef"
"734","undef"
"735","EXC"
"736","undef"
"737","undef"
"738","undef"
"739","SOM"
"740","undef"
"741","undef"
"742","undef"
"743","EXC"
"744","undef"
"745","undef"
"746","undef"
"747","SOM"
"748","undef"
"749","undef"
"750","undef"
"751","undef"
"752","SOM"
"753","EXC"
"754","undef"
"755","undef"
"756","undef"
"757","SOM"
"758","undef"
"759","undef"
"760","undef"
"761","EXC"
"762","SOM"
"763","SOM"
"764","undef"
"765","undef"
"766","undef"
"767","EXC"
"768","undef"
"769","undef"
"770","undef"
"771","undef"
"772","SOM"
"773","undef"
"774","SOM"
"775","SOM"
"776","undef"
"777","undef"
"778","undef"
"779","SOM"
"780","SOM"
"781","SOM"
"782","undef"
"783","undef"
"784","EXC"
"785","undef"
"786","undef"
"787","SOM"
"788","undef"
"789","undef"
"790","EXC"
"791","undef"
"792","undef"
"793","SOM"
"794","SOM"
"795","undef"
"796","undef"
"797","undef"
"798","undef"
"799","SOM"
"800","undef"
"801","undef"
"802","undef"
"803","undef"
"804","undef"
"805","undef"
"806","undef"
"807","EXC"
"808","undef"
"809","undef"
"810","EXC"
"811","undef"
"812","undef"
"813","undef"
"814","SOM"
"815","undef"
"816","undef"
"817","undef"
"818","undef"
"819","undef"
"820","undef"
"821","EXC"
"822","SOM"
"823","undef"
"824","SOM"
"825","SOM"
"826","undef"
"827","undef"
"828","undef"
"829","undef"
"830","undef"
"831","undef"
"832","SOM"
"833","undef"
"834","undef"
"835","undef"
"836","EXC"
"837","SOM"
"838","undef"
"839","undef"
"840","SOM"
"841","SOM"
"842","EXC"
"843","SOM"
"844","undef"
"845","undef"
"846","undef"
"847","undef"
"848","undef"
"849","undef"
"850","undef"
"851","undef"
"852","undef"
"853","EXC"
"854","EXC"
"855","EXC"
"856","undef"
"857","undef"
"858","undef"
"859","undef"
"860","undef"
"861","EXC"
"862","undef"
"863","undef"
"864","EXC"
"865","undef"
"866","EXC"
"867","undef"
"868","EXC"
"869","undef"
"870","undef"
"871","undef"
"872","undef"
"873","undef"
"874","undef"
"875","undef"
"876","undef"
"877","EXC"
"878","undef"
"879","undef"
"880","undef"
"881","EXC"
"882","undef"
"883","EXC"
"884","undef"
"885","undef"
"886","undef"
"887","undef"
"888","EXC"
"889","undef"
"890","undef"
"891","undef"
"892","undef"
"893","undef"
"894","undef"
"895","undef"
"896","EXC"
"897","undef"
"898","undef"
"899","undef"
"900","undef"
"901","undef"
"902","undef"
"903","undef"
"904","undef"
"905","undef"
"906","EXC"
"907","undef"
"908","undef"
"909","undef"
"910","undef"
"911","undef"
"912","SOM"
"913","SOM"
"914","undef"
"915","SOM"
"916","undef"
"917","undef"
"918","SOM"
"919","SOM"
"920","undef"
"921","undef"
"922","SOM"
"923","undef"
"924","SOM"
"925","undef"
"926","undef"
"927","undef"
"928","EXC"
"929","undef"
"930","undef"
"931","undef"
"932","undef"
"933","undef"
"934","undef"
"935","EXC"
"936","undef"
"937","undef"
"938","SOM"
"939","undef"
"940","undef"
"941","SOM"
"942","undef"
"943","SOM"
"944","undef"
"945","undef"
"946","undef"
"947","undef"
"948","undef"
"949","EXC"
"950","EXC"
"951","EXC"
"952","undef"
"953","undef"
"954","EXC"
"955","undef"
"956","undef"
"957","undef"
"958","undef"
"959","undef"
"960","EXC"
"961","undef"
"962","EXC"
"963","undef"
"964","undef"
"965","undef"
"966","undef"
"967","SOM"
"968","undef"
"969","undef"
"970","undef"
"971","undef"
"972","undef"
"973","undef"
